City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,kone,-21.0595,164.8658,28.08,63,96,2.56,NC,2023-12-03
138,kingston,17.997,-76.7936,26.53,93,20,1.03,JM,2023-12-03
139,kunwi,36.2347,128.5728,9.61,42,0,3.88,KR,2023-12-03
140,vorkuta,67.5,64.0,-25.67,99,80,2.09,RU,2023-12-03
141,male,4.1748,73.5089,30.97,74,40,5.14,MV,2023-12-03
142,georgetown,5.4112,100.3354,31.64,74,20,4.63,MY,2023-12-03
143,brookings,44.3114,-96.7984,-0.35,83,75,4.63,US,2023-12-03
144,al lagowa,11.4,29.1333,26.15,28,46,6.12,SD,2023-12-03
145,grand-bassam,5.2118,-3.7388,25.98,87,37,2.2,CI,2023-12-03
146,nantucket,41.2835,-70.0995,7.86,98,100,1.54,US,2023-12-03
147,silopi,37.2497,42.4694,5.65,47,17,0.39,TR,2023-12-03
148,klaksvik,62.2266,-6.589,0.51,73,100,4.44,FO,2023-12-03
149,ataq,14.5377,46.8319,18.36,29,97,2.64,YE,2023-12-03
150,college,64.8569,-147.8028,-22.03,79,20,0.0,US,2023-12-03
151,margate,51.3813,1.3862,6.61,75,73,5.81,GB,2023-12-03
152,aasiaat,68.7098,-52.8699,-13.42,84,34,1.79,GL,2023-12-03
153,kristiansund,63.1115,7.732,-4.64,68,25,2.57,NO,2023-12-03
154,selkirk,50.1436,-96.8845,-0.92,69,96,4.02,CA,2023-12-03
155,andreapol',56.6513,32.2664,-12.74,97,100,2.58,RU,2023-12-03
156,bethel,41.3712,-73.414,8.42,89,100,0.0,US,2023-12-03
157,muynoq,43.7683,59.0214,11.04,51,94,4.16,UZ,2023-12-03
158,parkes,-33.1333,148.1833,29.64,24,4,0.89,AU,2023-12-03
159,borova,50.1763,30.1043,1.83,89,100,8.18,UA,2023-12-03
160,badiyah,22.45,58.8,25.64,40,2,0.45,OM,2023-12-03
161,glendive,47.1053,-104.7125,-1.21,64,0,5.14,US,2023-12-03
162,sinabang,2.4803,96.3801,23.82,95,100,4.5,ID,2023-12-03
163,broome,42.2506,-75.833,8.45,89,100,2.06,US,2023-12-03
164,sriramnagar,17.2665,78.2554,27.8,61,75,6.17,IN,2023-12-03
165,happy valley-goose bay,53.3168,-60.3315,-16.83,78,40,4.63,CA,2023-12-03
166,korla,41.7597,86.1469,4.3,35,83,3.33,CN,2023-12-03
167,minas de marcona,-15.2119,-75.1103,13.86,86,74,5.38,PE,2023-12-03
168,raymondville,26.4815,-97.7831,17.83,62,100,0.89,US,2023-12-03
169,frontera,26.9333,-101.45,14.94,62,94,0.45,MX,2023-12-03
170,tromso,69.6496,18.957,-9.99,92,20,1.03,NO,2023-12-03
171,enewetak,11.3474,162.3373,27.72,79,97,8.55,MH,2023-12-03
172,esperanza,19.5847,-70.9849,23.32,91,88,1.34,DO,2023-12-03
173,jackson,42.4165,-122.8345,8.89,96,100,0.0,US,2023-12-03
174,dolores,-36.3132,-57.6792,12.84,66,71,4.97,AR,2023-12-03
175,penon blanco,24.7897,-104.0369,10.74,64,52,1.57,MX,2023-12-03
176,torshavn,62.0097,-6.7716,0.66,72,100,4.74,FO,2023-12-03
177,morehead city,34.7229,-76.726,19.43,90,100,1.79,US,2023-12-03
178,hazard,37.2495,-83.1932,15.83,99,100,1.21,US,2023-12-03
179,holualoa,19.6228,-155.9522,23.91,90,20,5.66,US,2023-12-03
180,flying fish cove,-10.4217,105.6791,28.82,69,40,5.66,CX,2023-12-03
181,campos belos,-13.0367,-46.7717,21.59,73,85,1.09,BR,2023-12-03
182,linz,48.3064,14.2861,-3.76,86,100,5.14,AT,2023-12-03
183,ust-nera,64.5667,143.2,-40.39,99,91,0.96,RU,2023-12-03
184,lyndon,38.2567,-85.6016,10.94,85,100,2.57,US,2023-12-03
185,shakopee,44.798,-93.5269,2.38,83,100,3.09,US,2023-12-03
186,nelson bay,-32.7167,152.15,25.05,71,59,1.34,AU,2023-12-03
187,tralee,52.2704,-9.7026,2.56,96,86,2.09,IE,2023-12-03
188,inhambane,-23.865,35.3833,26.99,50,40,0.0,MZ,2023-12-03
189,west island,-12.1568,96.8225,27.99,69,40,6.17,CC,2023-12-03
190,al ghayzah,16.2079,52.176,28.01,26,15,3.39,YE,2023-12-03
191,phang nga,8.4509,98.5298,28.02,60,99,2.87,TH,2023-12-03
192,hodmezovasarhely,46.4167,20.3333,0.66,72,23,6.64,HU,2023-12-03
193,ancud,-41.8697,-73.8203,5.76,84,5,2.15,CL,2023-12-03
194,belidzhi,41.8918,48.4125,12.92,70,11,0.63,RU,2023-12-03
195,byron bay,-28.65,153.6167,30.39,55,12,3.2,AU,2023-12-03
196,palikir - national government center,6.9248,158.1611,29.41,79,100,2.06,FM,2023-12-03
197,ishinomaki,38.4167,141.3,13.0,66,72,1.25,JP,2023-12-03
198,geraldton,-28.7667,114.6,28.23,47,33,7.2,AU,2023-12-03
199,san mariano,7.5,126.0,28.54,78,100,1.58,PH,2023-12-03
200,okha,53.5739,142.9478,-12.64,81,64,5.71,RU,2023-12-03
201,sicuani,-14.2694,-71.2261,9.89,79,98,1.3,PE,2023-12-03
202,lloydminster,53.2835,-110.0016,-15.88,85,20,2.57,CA,2023-12-03
203,balkanabat,39.5108,54.3671,17.14,33,19,1.7,TM,2023-12-03
204,tecolotlan,20.2167,-104.05,19.61,61,100,0.3,MX,2023-12-03
205,napier,-39.4833,176.9167,18.49,79,100,2.24,NZ,2023-12-03
206,novodvinsk,64.4165,40.8122,-16.14,99,88,1.01,RU,2023-12-03
207,balqash,46.8481,74.995,1.33,100,75,6.0,KZ,2023-12-03
208,haiku-pauwela,20.9219,-156.3051,24.47,80,0,6.69,US,2023-12-03
209,revda,56.801,59.9303,-12.34,91,100,3.76,RU,2023-12-03
210,buguruslan,53.6554,52.442,-10.55,96,66,1.31,RU,2023-12-03
211,gadzhiyevo,69.2551,33.3362,0.55,84,100,8.97,RU,2023-12-03
212,port hedland,-20.3167,118.5667,32.03,58,3,7.72,AU,2023-12-03
213,antsiranana,-12.2787,49.2917,29.42,70,40,0.0,MG,2023-12-03
214,selfoss,63.9331,-20.9971,-1.64,57,100,3.55,IS,2023-12-03
215,forster,-32.1667,152.5167,22.43,84,67,2.04,AU,2023-12-03
216,mount isa,-20.7333,139.5,36.87,28,28,8.23,AU,2023-12-03
217,al jawf,29.5,38.75,15.99,46,0,4.64,SA,2023-12-03
218,port lincoln,-34.7333,135.8667,27.47,24,70,2.41,AU,2023-12-03
219,utrik,11.2278,169.8474,27.21,74,62,8.71,MH,2023-12-03
220,ribeira grande,38.5167,-28.7,15.1,59,95,8.91,PT,2023-12-03
